Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1747788409,"2025-05-21 00:46:49",B5740,CZ3401,7200.9,794.508,343,112.82328033447,24.249435424805
1747788424,"2025-05-21 00:47:04",B5740,CZ3401,7193.28,794.508,343,112.81423187256,24.276489257812
1747788439,"2025-05-21 00:47:19",B5740,CZ3401,7193.28,794.508,344,112.8044128418,24.305879592896
1747788454,"2025-05-21 00:47:34",B5740,CZ3401,7193.28,794.508,344,112.79347991943,24.338520050049
1747788469,"2025-05-21 00:47:49",B5740,CZ3401,7200.9,794.508,343,112.78424835205,24.366233825684
1747788484,"2025-05-21 00:48:04",B5740,CZ3401,7284.72,792.656,344,112.77378845215,24.397569656372
1747788499,"2025-05-21 00:48:19",B5740,CZ3401,7360.92,792.656,340,112.7640914917,24.425540924072
1747788519,"2025-05-21 00:48:39",B5740,CZ3401,7475.22,788.952,331,112.74388122559,24.456960678101
1747788534,"2025-05-21 00:48:54",B5740,CZ3401,7589.52,785.248,320,112.72232055664,24.475980758667
1747788559,"2025-05-21 00:49:19",B5740,CZ3401,7780.02,783.396,292,112.67422485352,24.495927810669
1747788573,"2025-05-21 00:49:33",B5740,CZ3401,7917.18,788.952,277,112.63541412354,24.500581741333
1747788594,"2025-05-21 00:49:54",B5740,CZ3401,8069.58,790.804,276,112.59229278564,24.505191802979
1747788608,"2025-05-21 00:50:08",B5740,CZ3401,8153.4,790.804,277,112.56845855713,24.507610321045
1747788622,"2025-05-21 00:50:22",B5740,CZ3401,8275.32,790.804,276,112.5366897583,24.510780334473
1747788636,"2025-05-21 00:50:36",B5740,CZ3401,8389.62,796.36,276,112.50031280518,24.514221191406
1747788651,"2025-05-21 00:50:51",B5740,CZ3401,8420.1,800.064,276,112.47393035889,24.516689300537
1747788662,"2025-05-21 00:51:02",B5740,CZ3401,8420.1,801.916,276,112.45223999023,24.518739700317
1747788681,"2025-05-21 00:51:21",B5740,CZ3401,8412.48,803.768,276,112.40904998779,24.5227394104
1747788696,"2025-05-21 00:51:36",B5740,CZ3401,8412.48,805.62,276,112.37314605713,24.526062011719
1747788721,"2025-05-21 00:52:01",B5740,CZ3401,8412.48,811.176,276,112.32141876221,24.531097412109
