dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1747787635,1,113.28704833984,23.390029907227,0,14,287.06,0,0,0,53.34
1747787650,1,113.28395080566,23.378719329834,0,14,298.172,0,0,0,220.98
1747787670,1,113.27928161621,23.365539550781,0,14,303.728,0,0,0,426.72
1747787681,1,113.27548217773,23.359180450439,0,14,300.024,0,0,0,556.26
1747787695,1,113.26954650879,23.349670410156,0,14,287.06,0,0,0,731.52
1747787710,1,113.26329803467,23.339679718018,0,14,285.208,0,0,0,883.92
1747787725,1,113.25705718994,23.329929351807,0,14,301.876,0,0,0,990.6
1747787740,1,113.24768066406,23.321599960327,0,14,329.656,0,0,0,1074.42
1747787755,1,113.23491668701,23.316293716431,0,14,357.436,0,0,0,1173.48
1747787770,1,113.21920013428,23.315410614014,0,14,398.18,0,0,0,1242.06
1747787785,1,113.20252990723,23.321460723877,0,14,440.776,0,0,0,1325.88
1747787800,1,113.18852996826,23.332349777222,0,14,477.816,0,0,0,1424.94
1747787815,1,113.17337036133,23.344409942627,0,14,503.744,0,0,0,1554.48
1747787835,1,113.15531158447,23.359119415283,0,14,514.856,0,0,0,1722.12
1747787850,1,113.13871002197,23.373279571533,0,14,522.264,0,0,0,1859.28
1747787865,1,113.12197875977,23.386869430542,0,14,525.968,0,0,0,1981.2
1747787879,1,113.10674285889,23.398969650269,0,14,522.264,0,0,0,2087.88
1747787894,1,113.09015655518,23.414150238037,0,14,531.524,0,0,0,2232.66
1747787909,1,113.08110809326,23.434349060059,0,14,548.192,0,0,0,2438.4
1747787924,1,113.08009338379,23.454650878906,0,14,557.452,0,0,0,2621.28
1747787935,1,113.08013153076,23.468490600586,0,14,561.156,0,0,0,2743.2
1747787949,1,113.08003234863,23.489910125732,0,14,564.86,0,0,0,2926.08
1747787964,1,113.07987976074,23.506072998047,0,14,570.416,0,0,0,3055.62
1747787979,1,113.07972717285,23.527080535889,0,14,592.64,0,0,0,3177.54
1747787994,1,113.07947540283,23.550064086914,0,14,620.42,0,0,0,3261.36
1747788009,1,113.07922363281,23.574188232422,0,14,648.2,0,0,0,3345.18
1747788024,1,113.07907104492,23.599319458008,0,14,659.312,0,0,0,3505.2
1747788039,1,113.07891845703,23.623950958252,0,14,666.72,0,0,0,3680.46
1747788054,1,113.07869720459,23.650630950928,0,14,672.276,0,0,0,3870.96
1747788069,1,113.07810211182,23.679569244385,0,14,670.424,0,0,0,4091.94
1747788089,1,113.07273864746,23.707609176636,0,14,659.312,0,0,0,4343.4
1747788104,1,113.06335449219,23.73161315918,0,14,659.312,0,0,0,4541.52
1747788119,1,113.05159759521,23.7555103302,0,14,666.72,0,0,0,4724.4
1747788134,1,113.04081726074,23.777479171753,0,14,674.128,0,0,0,4892.04
1747788149,1,113.02941894531,23.800720214844,0,14,681.536,0,0,0,5059.68
1747788164,1,113.01696777344,23.826095581055,0,14,688.944,0,0,0,5257.8
